Location Name,Location Type,Destination City,Destination_pincode,Destination State,Latitude,Longitude,Volume,active_status,curr_hub,curr_lat,curr_lon,curr_destination
ASIAN RETAIL VENTURES,Demand,NEW DELHI,110083,DELHI,28.6927725,77.0943697,853,0,0,0,0,"0,0"
Miradh Enterprises,Demand,NEW DELHI,110092,DELHI,28.6245815,77.2828969,425,0,0,0,0,"0,0"
STALLION TRADING COMPANY,Demand,MUMBAI,400003,MAHARASHTRA,18.9485571,72.8344118,915,0,0,0,0,"0,0"
CAMPUS ACTIVEWEAR LIMITED,Demand,NEW DELHI,110041,DELHI,28.6835189,77.0170964,428,0,0,0,0,"0,0"
GAZAL FASHIONS,Demand,SURAT,395010,GUJARAT,21.1973832,72.8727825,543,0,0,0,0,"0,0"
MR ONLINE STORE,Demand,NEW DELHI,110019,DELHI,28.5179135,77.265289,270,0,0,0,0,"0,0"
GHV Medical Anchor Private Limited,Demand,FARRUKH NAGAR,122506,HARYANA,28.4496275,76.8259557,942,0,0,0,0,"0,0"
Bhavik Enterprises,Demand,NEW DELHI,110063,DELHI,28.66687,77.102047,496,0,0,0,0,"0,0"
LEOTUDE,Demand,AHMEDABAD,382405,GUJARAT,22.9724352,72.5843824,184,0,0,0,0,"0,0"
MS BEST IDEAS,Demand,JALANDHAR,144003,PUNJAB,31.3031433,75.5516585,524,0,0,0,0,"0,0"
JJ ENTERPRISES,Demand,NEW DELHI,110093,DELHI,28.7100988,77.313299,296,0,0,0,0,"0,0"
HANSABEN RAJNIKANT THAKKAR,Demand,SURAT,395009,GUJARAT,21.1935519,72.7993383,500,0,0,0,0,"0,0"
R J ENTERPRISE,Demand,SURAT,395006,GUJARAT,21.218137,72.8950639,264,0,0,0,0,"0,0"
AKSHAR ENTERPRISES,Demand,MUMBAI,400009,MAHARASHTRA,18.95525,72.8372347,208,0,0,0,0,"0,0"
BHARDWAJ RETAILS,Demand,MAHABAN,281305,UTTAR PRADESH,27.482766,77.7967465,295,0,0,0,0,"0,0"
GOYAL ENTERPRISES,Demand,NEW DELHI,110085,DELHI,28.6997737,77.1154589,243,0,0,0,0,"0,0"
MAA DURGE ENTERPRISES,Demand,KANPUR,208005,UTTAR PRADESH,26.4603446,80.3033448,181,0,0,0,0,"0,0"
MFC RETAILS,Demand,NEW DELHI,110083,DELHI,28.6860624,77.0874065,132,0,0,0,0,"0,0"
S.S RETAIL,Demand,NEW DELHI,110085,DELHI,28.6975436,77.1017709,375,0,0,0,0,"0,0"
Vinay,Demand,NEW DELHI,110002,DELHI,28.6573889,77.2121415,310,0,0,0,0,"0,0"
friends mart,Demand,SONIPAT,131001,HARYANA,28.57512,77.258754,187,0,0,0,0,"0,0"
VARDHMAN WOOL STORE,Demand,PANIPAT,132103,HARYANA,29.3543955,76.9802736,309,0,0,0,0,"0,0"
KHANEJA TRADERS,Demand,NEW DELHI,110033,DELHI,28.735011,77.1636148,679,0,0,0,0,"0,0"
SR ENTERPRISES,Demand,YAMUNA NAGAR,135003,HARYANA,30.1674983,77.2960198,106,0,0,0,0,"0,0"
AWESOMEFAB SHOPPING PRIVATE LIMITED,Demand,AHMEDABAD,382405,GUJARAT,22.9700089,72.5788014,270,0,0,0,0,"0,0"
LIFE LIKE,Demand,NEW DELHI,110085,DELHI,28.714869,77.115484,211,0,0,0,0,"0,0"
Premium Store,Demand,SURAT,395008,GUJARAT,21.2116065,72.8983639,452,0,0,0,0,"0,0"
SHRINO,Demand,NEW DELHI,110094,DELHI,28.6475736,77.0513587,83,0,0,0,0,"0,0"
RANGRASIYA TEX,Demand,SURAT,395010,GUJARAT,21.19941,72.8677642,169,0,0,0,0,"0,0"
Vinayak plastic,Demand,RAJKOT,360004,GUJARAT,22.2328699,70.7952438,330,0,0,0,0,"0,0"
Blackjack Enterprise,Demand,SURAT,395008,GUJARAT,21.222419,72.897233,298,0,0,0,0,"0,0"
FROST CLOTHINGS,Demand,NOIDA,201301,UTTAR PRADESH,28.596026,77.3144936,157,0,0,0,0,"0,0"
SUN SHOPPING,Demand,NEW DELHI,110062,DELHI,28.5086103,77.2278629,129,0,0,0,0,"0,0"
Shri Maruti overseas,Demand,GURGAON,122019,HARYANA,28.4413002,77.0822124,466,0,0,0,0,"0,0"
TANVI ENTERPRISES,Demand,NEW DELHI,110084,DELHI,28.7522114,77.1898528,206,0,0,0,0,"0,0"
D.N. ENTERPRISES,Demand,NEW DELHI,110042,DELHI,28.7519747,77.1395053,191,0,0,0,0,"0,0"
SHYAM ART N FRAMES,Demand,JAIPUR,302013,RAJASTHAN,26.9953035,75.7500357,188,0,0,0,0,"0,0"
AHILL FASHION TEXTILES INC,Demand,TIRUPPUR,641602,TAMIL NADU,11.0932147,77.3338222,226,0,0,0,0,"0,0"
NISHAT TEXTILES,Demand,JAIPUR,302029,RAJASTHAN,26.8155082,75.7741128,348,0,0,0,0,"0,0"
HARE KRISHNA TRADING,Demand,SURAT,394107,GUJARAT,21.2432166,72.860181,186,0,0,0,0,"0,0"
BEST DEALS,Demand,MUMBAI,400010,MAHARASHTRA,18.9714105,72.8432859,98,0,0,0,0,"0,0"
PRIME IMPEX,Demand,SURAT,395012,GUJARAT,21.1784913,72.8706619,160,0,0,0,0,"0,0"
SAI TEX INDIA,Demand,PANIPAT,132103,HARYANA,29.389445,76.9455061,248,0,0,0,0,"0,0"
vivek inc.,Demand,PANIPAT,132103,HARYANA,29.3850334,76.969097,586,0,0,0,0,"0,0"
SH NASIMA MANUFACTURER,Demand,INDORE,452002,MADHYA PRADESH,19.0948287,74.7479789,389,0,0,0,0,"0,0"
Abhishek enterprises,Demand,NEW DELHI,110008,DELHI,28.6068256,77.2939909,93,0,0,0,0,"0,0"
SHRI SHAKTI,Demand,FARIDABAD,121001,HARYANA,28.3952608,77.3037993,199,0,0,0,0,"0,0"
VANESA CARE PVT LTD,Demand,NEW DELHI,110036,DELHI,28.7490835,77.0857578,188,0,0,0,0,"0,0"
LOIS CARON PRIVATE LIMITED,Demand,NEW DELHI,110092,DELHI,28.6394386,77.2922034,201,0,0,0,0,"0,0"
4HER COLLECTION,Demand,SURAT,395008,GUJARAT,21.2116065,72.8983639,238,0,0,0,0,"0,0"
EMPERO WATCH COMPANY,Demand,RAJKOT,360002,GUJARAT,22.262442,70.8171406,190,0,0,0,0,"0,0"
HANSCO SALES (INDIA),Demand,JALANDHAR,144001,PUNJAB,31.3349639,75.51554,174,0,0,0,0,"0,0"
Saksham INC,Demand,GURGAON,122019,HARYANA,28.4413002,77.0822124,362,0,0,0,0,"0,0"
SHRINIDHI,Demand,MUMBAI,400067,MAHARASHTRA,19.2088571,72.8297272,329,0,0,0,0,"0,0"
MAHAGEETA CREATION,Demand,JAIPUR,302022,RAJASTHAN,26.7722834,75.856151,88,0,0,0,0,"0,0"
VANI ENTERPRISES,Demand,NEW DELHI,110094,DELHI,28.7077712,77.2867217,156,0,0,0,0,"0,0"
Go5 Incorporation,Demand,GURGAON,122002,HARYANA,28.4910596,77.1081704,105,0,0,0,0,"0,0"
SHARMA ENTERPRISES,Demand,HISSAR,125001,HARYANA,29.1173894,75.6988466,216,0,0,0,0,"0,0"
Arman Enterprise,Demand,SURAT,395008,GUJARAT,21.222419,72.897233,225,0,0,0,0,"0,0"
OMRON BAGS,Demand,BHIWANDI,421302,MAHARASHTRA,19.2914183,73.0578804,70,0,0,0,0,"0,0"
HANSABEN NARESHBHAI PATEL,Demand,SURAT,394107,GUJARAT,21.2432166,72.860181,787,0,0,0,0,"0,0"
SPEEDEX OVERSEAS PVT LTD,Demand,SONIPAT,131028,HARYANA,28.8753562,77.1253474,112,0,0,0,0,"0,0"
PRELOONS,Demand,MUMBAI,400060,MAHARASHTRA,19.138147,72.8508488,130,0,0,0,0,"0,0"
OLIVE OPS,Demand,NEW DELHI,110034,DELHI,28.7046109,77.1416855,139,0,0,0,0,"0,0"
SHRADHA ENTERPRISES-Rajasthan,Demand,JAIPUR,302003,RAJASTHAN,26.922344,75.822106,177,0,0,0,0,"0,0"
SHIV PRODUCT,Demand,RAJKOT,360004,GUJARAT,22.2384706,70.7957459,143,0,0,0,0,"0,0"
NAMAN E-RETAIL,Demand,GANGAGHAT,209861,UTTAR PRADESH,26.4758008,80.3863068,97,0,0,0,0,"0,0"
ADITYA TIME,Demand,NEW DELHI,110088,DELHI,28.708906,77.1694437,181,0,0,0,0,"0,0"
SHINING STARS,Demand,MUMBAI,400097,MAHARASHTRA,19.1849289,72.8560993,217,0,0,0,0,"0,0"
KALKAJI TRADING,Demand,NEW DELHI,110032,DELHI,28.6678081,77.2989768,190,0,0,0,0,"0,0"
OFLINE SELECTION,Demand,SURAT,395010,GUJARAT,21.1892023,72.8958374,115,0,0,0,0,"0,0"
AQUIRE INDIA PRIVATE LIMITED,Demand,TIRUPPUR,641666,TAMIL NADU,11.2009567,77.3586684,256,0,0,0,0,"0,0"
JBJ IMPEX,Demand,NEW DELHI,110042,DELHI,28.7550848,77.1464026,94,0,0,0,0,"0,0"
RUMON,Demand,SURAT,394210,GUJARAT,21.1879571,72.8421849,158,0,0,0,0,"0,0"
KVA INDUSTRIAL SOLUTIONS PRIVATE LIMITED,Demand,NOIDA,201301,UTTAR PRADESH,28.5896507,77.3708654,155,0,0,0,0,"0,0"
AFFLATUS COSMETIC,Demand,SURAT,395008,GUJARAT,21.2231468,72.8967764,146,0,0,0,0,"0,0"
parishi trading company,Demand,NEW DELHI,110052,DELHI,28.7017889,77.1662357,72,0,0,0,0,"0,0"
DYNAMIC STORE,Demand,MUMBAI,401105,MAHARASHTRA,19.2996263,72.8552642,135,0,0,0,0,"0,0"
MARK ENTERPRISES,Demand,HISSAR,125001,HARYANA,29.1730941,75.7233173,162,0,0,0,0,"0,0"
KAPASIYA ENTERPRISES,Demand,GREATER NOIDA,201310,UTTAR PRADESH,28.478369,77.525576,68,0,0,0,0,"0,0"
KANHA ENTERPRISES-Kanpur,Demand,KANPUR,208001,UTTAR PRADESH,26.4660959,80.3282969,125,0,0,0,0,"0,0"
Global Retail Ventures LLP,Demand,NEW DELHI,110039,DELHI,28.8061872,77.0505228,165,0,0,0,0,"0,0"
HANSH ENTERPRISES,Demand,NEW DELHI,110093,DELHI,28.7041749,77.3058772,110,0,0,0,0,"0,0"
RUCHIKA TRADING,Demand,HISSAR,125001,HARYANA,28.7242276,77.2228048,167,0,0,0,0,"0,0"
THRIFTKART,Demand,AHMEDABAD,382330,GUJARAT,23.070915,72.666924,95,0,0,0,0,"0,0"
